index,breed_model,breed_CIDD,disease,genetic_disease,effective_ingredients,food
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Beef, Chickpeas",Beef & Chickpeas Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Pork cartilage, Sweet potato, Oats",Pork cartilage & Sweet potato Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Pork cartilage, Sweet potato, Brown rice",Pork cartilage & Sweet potato Brown Rice Bowl
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Beef, Sweet potato, Chickpeas",Beef & Sweet potato Chickpeas Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Pork ribs, Cabbage, Brown rice",Pork ribs & Cabbage Brown Rice Bowl
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Egg yolk, Kale, Chickpeas",Egg yolk & Kale Chickpeas Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Bone broth, Spinach, Brown rice",Bone broth & Spinach Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Salmon, Oats, Bell pepper, Broccoli, Blueberry",Cartilage Care Salmon Dinner
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Egg yolk, Spinach, Chickpeas",Egg yolk & Spinach Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry",Eye Protect Herring Plate
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Herring, Corn, Chickpeas",Herring & Corn Chickpeas Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Bone broth, Spinach, Oats",Bone broth & Spinach Oat Porridge
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Egg yolk, Kale, Blueberries",Egg yolk & Kale Bowl with Blueberries
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Broccoli, Sunflower Seeds, Kale, Spinach, Salmon, Carrot, Pumpkin Seeds",Eye Health Bowl
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry",Bright Eyes Egg yolk Bowl
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Sardine, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Sardine Dinner
0,affenpinscher,Affenpinscher,Cataracts,0.0,"Salmon, Kale, Chickpeas",Salmon & Kale Chickpeas Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Chicken sternum cartilage, Asparagus, Brown rice",Chicken sternum cartilage & Asparagus Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Chicken feet, Broccoli, Brown rice",Chicken feet & Broccoli Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1.0,"Chicken feet, Sweet potato, Spinach, Asparagus, Blueberry",Joint Shield Chicken feet Bowl
