index,breed_model,breed_CIDD,disease,genetic_disease,effective_ingredients,food
0,affenpinscher,Affenpinscher,Cataracts,0,"Beef, Chickpeas",Beef & Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Beef, Sweet potato, Chickpeas",Beef & Sweet potato Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry",Bright Eyes Egg yolk Bowl
0,affenpinscher,Affenpinscher,Cataracts,0,"Sardine, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Sardine Dinner
0,affenpinscher,Affenpinscher,Cataracts,0,"Egg yolk, Kale, Blueberries",Egg yolk & Kale Bowl with Blueberries
0,affenpinscher,Affenpinscher,Cataracts,0,"Egg yolk, Kale, Chickpeas",Egg yolk & Kale Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Egg yolk, Spinach, Chickpeas",Egg yolk & Spinach Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry",Eye Protect Herring Plate
0,affenpinscher,Affenpinscher,Cataracts,0,"Herring, Bell pepper, Chickpeas",Herring & Bell pepper Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Herring, Corn, Chickpeas",Herring & Corn Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Mackerel, Broccoli, Chickpeas",Mackerel & Broccoli Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Mackerel, Peas, Chickpeas",Mackerel & Peas Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Oysters, Bell pepper, Chickpeas",Oysters & Bell pepper Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Oysters, Corn, Chickpeas",Oysters & Corn Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds",Retina Guard Beef Mix
0,affenpinscher,Affenpinscher,Cataracts,0,"Salmon, Kale, Chickpeas",Salmon & Kale Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Salmon, Spinach, Chickpeas",Salmon & Spinach Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Sardines, Broccoli, Chickpeas",Sardines & Broccoli Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Sardines, Peas, Chickpeas",Sardines & Peas Chickpeas Stew
0,affenpinscher,Affenpinscher,Cataracts,0,"Salmon, Sweet potato, Carrot, Kale, Sunflower seeds",Vision Shield Salmon Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Beef trachea, Bell pepper, Brown rice",Beef trachea & Bell pepper Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Beef trachea, Bell pepper, Oats",Beef trachea & Bell pepper Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Bone broth, Spinach, Brown rice",Bone broth & Spinach Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Bone broth, Spinach, Oats",Bone broth & Spinach Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Salmon, Oats, Bell pepper, Broccoli, Blueberry",Cartilage Care Salmon Dinner
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Chicken feet, Broccoli, Brown rice",Chicken feet & Broccoli Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Chicken feet, Broccoli, Oats",Chicken feet & Broccoli Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Chicken sternum cartilage, Asparagus, Brown rice",Chicken sternum cartilage & Asparagus Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Chicken sternum cartilage, Asparagus, Oats",Chicken sternum cartilage & Asparagus Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Egg (whole), Brown rice, Asparagus, Bell pepper, Bone broth",Flex & Move Egg Stew
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Green-lipped mussel, Kale, Brown rice",Green-lipped mussel & Kale Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Green-lipped mussel, Kale, Oats",Green-lipped mussel & Kale Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Chicken feet, Sweet potato, Spinach, Asparagus, Blueberry",Joint Shield Chicken feet Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Chicken cartilage, Brown rice, Cabbage, Kale, Blueberry",Joint Support Chicken cartilage Plate #5
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Pork cartilage, Sweet potato, Brown rice",Pork cartilage & Sweet potato Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Pork cartilage, Sweet potato, Oats",Pork cartilage & Sweet potato Oat Porridge
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Pork ribs, Cabbage, Brown rice",Pork ribs & Cabbage Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Shark cartilage, Brown rice",Shark cartilage & Brown rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Shark cartilage, Cabbage, Brown rice",Shark cartilage & Cabbage Brown Rice Bowl
0,affenpinscher,Affenpinscher,Hip dysplasia,1,"Sardine, Sweet potato, Broccoli, Cabbage, Cod liver oil",Strong Bones Sardine Mix
1,Afghan_hound,Afghan hound,Cataracts,1,"Beef, Chickpeas",Beef & Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Beef, Sweet potato, Chickpeas",Beef & Sweet potato Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry",Bright Eyes Egg yolk Bowl
1,Afghan_hound,Afghan hound,Cataracts,1,"Sardine, Pumpkin, Kale, Spinach, Blueberry",Clear Sight Sardine Dinner
1,Afghan_hound,Afghan hound,Cataracts,1,"Egg yolk, Kale, Blueberries",Egg yolk & Kale Bowl with Blueberries
1,Afghan_hound,Afghan hound,Cataracts,1,"Egg yolk, Kale, Chickpeas",Egg yolk & Kale Chickpeas Stew
1,Afghan_hound,Afghan hound,Cataracts,1,"Egg yolk, Spinach, Chickpeas",Egg yolk & Spinach Chickpeas Stew
