annotation_folder,annotation_breed,cidd_breed,matched
n02110627-affenpinscher,affenpinscher,Affenpinscher,yes
n02088094-Afghan_hound,Afghan_hound,Afghan hound,yes
n02116738-African_hunting_dog,African_hunting_dog,,no
n02096051-Airedale,Airedale,Airedale terrier,partial
n02093428-American_Staffordshire_terrier,American_Staffordshire_terrier,American Staffordshire terrier,yes
n02107908-Appenzeller,Appenzeller,,no
n02096294-Australian_terrier,Australian_terrier,Australian terrier,yes
n02110806-basenji,basenji,Basenji,yes
n02088238-basset,basset,Basset Griffon Vendeen,partial
n02088364-beagle,beagle,Beagle,yes
n02093647-Bedlington_terrier,Bedlington_terrier,Bedlington terrier,yes
n02107683-Bernese_mountain_dog,Bernese_mountain_dog,Bernese mountain dog,yes
n02089078-black-and-tan_coonhound,black-and-tan_coonhound,Black and tan coonhound,yes
n02086646-Blenheim_spaniel,Blenheim_spaniel,,no
n02088466-bloodhound,bloodhound,Bloodhound,yes
n02088632-bluetick,bluetick,Bluetick coonhound,partial
n02106166-Border_collie,Border_collie,Border collie,yes
n02093754-Border_terrier,Border_terrier,Border terrier,yes
n02090622-borzoi,borzoi,Borzoi,yes
n02096585-Boston_bull,Boston_bull,,no
n02106382-Bouvier_des_Flandres,Bouvier_des_Flandres,Bouvier des Flandres,yes
n02108089-boxer,boxer,Boxer,yes
n02112706-Brabancon_griffon,Brabancon_griffon,,no
n02105251-briard,briard,Briard,yes
n02101388-Brittany_spaniel,Brittany_spaniel,Brittany,partial
n02108422-bull_mastiff,bull_mastiff,Bull mastiff,yes
n02096177-cairn,cairn,Cairn terrier,partial
n02113186-Cardigan,Cardigan,Cardigan Welsh Corgi,partial
n02099849-Chesapeake_Bay_retriever,Chesapeake_Bay_retriever,Chesapeake Bay retriever,yes
n02085620-Chihuahua,Chihuahua,Chihuahua,yes
n02112137-chow,chow,Chow chow,partial
n02101556-clumber,clumber,Clumber spaniel,partial
n02102318-cocker_spaniel,cocker_spaniel,"Cocker spaniel, American",partial
n02106030-collie,collie,Bearded collie,partial
n02099429-curly-coated_retriever,curly-coated_retriever,Curly coated retriever,yes
n02096437-Dandie_Dinmont,Dandie_Dinmont,Dandie Dinmont Terrier,partial
n02115913-dhole,dhole,,no
n02115641-dingo,dingo,,no
n02107142-Doberman,Doberman,Doberman pinscher,partial
n02089973-English_foxhound,English_foxhound,English foxhound,yes
n02100735-English_setter,English_setter,English setter,yes
n02102040-English_springer,English_springer,English springer spaniel,partial
n02108000-EntleBucher,EntleBucher,,no
n02109961-Eskimo_dog,Eskimo_dog,American eskimo dog,partial
n02099267-flat-coated_retriever,flat-coated_retriever,Flat-coated retriever,yes
n02108915-French_bulldog,French_bulldog,French bulldog,yes
n02106662-German_shepherd,German_shepherd,German shepherd,yes
n02100236-German_short-haired_pointer,German_short-haired_pointer,,no
n02097130-giant_schnauzer,giant_schnauzer,,no
n02099601-golden_retriever,golden_retriever,Golden retriever,yes
n02101006-Gordon_setter,Gordon_setter,Gordon setter,yes
n02109047-Great_Dane,Great_Dane,Great Dane,yes
n02111500-Great_Pyrenees,Great_Pyrenees,Great Pyrenees,yes
n02107574-Greater_Swiss_Mountain_dog,Greater_Swiss_Mountain_dog,Greater Swiss mountain dog,yes
n02105056-groenendael,groenendael,,no
n02091244-Ibizan_hound,Ibizan_hound,Ibizan hound,yes
n02100877-Irish_setter,Irish_setter,Irish setter,yes
n02093991-Irish_terrier,Irish_terrier,Irish terrier,yes
n02102973-Irish_water_spaniel,Irish_water_spaniel,Irish water spaniel,yes
