disease,food_name,combination
Hip dysplasia,Chicken feet & Broccoli Brown Rice Bowl,"Chicken feet, Broccoli, Brown rice"
Hip dysplasia,Chicken feet & Broccoli Oat Porridge,"Chicken feet, Broccoli, Oats"
Hip dysplasia,Beef trachea & Bell pepper Brown Rice Bowl,"Beef trachea, Bell pepper, Brown rice"
Hip dysplasia,Beef trachea & Bell pepper Oat Porridge,"Beef trachea, Bell pepper, Oats"
Hip dysplasia,Green-lipped mussel & Kale Brown Rice Bowl,"Green-lipped mussel, Kale, Brown rice"
Hip dysplasia,Green-lipped mussel & Kale Oat Porridge,"Green-lipped mussel, Kale, Oats"
Hip dysplasia,Pork cartilage & Sweet potato Brown Rice Bowl,"Pork cartilage, Sweet potato, Brown rice"
Hip dysplasia,Pork cartilage & Sweet potato Oat Porridge,"Pork cartilage, Sweet potato, Oats"
Hip dysplasia,Bone broth & Spinach Brown Rice Bowl,"Bone broth, Spinach, Brown rice"
Hip dysplasia,Bone broth & Spinach Oat Porridge,"Bone broth, Spinach, Oats"
Hip dysplasia,Chicken sternum cartilage & Asparagus Brown Rice Bowl,"Chicken sternum cartilage, Asparagus, Brown rice"
Hip dysplasia,Chicken sternum cartilage & Asparagus Oat Porridge,"Chicken sternum cartilage, Asparagus, Oats"
Hip dysplasia,Shark cartilage & Cabbage Brown Rice Bowl,"Shark cartilage, Cabbage, Brown rice"
Hip dysplasia,Shark cartilage & Brown rice Bowl,"Shark cartilage, Brown rice"
Hip dysplasia,Pork ribs & Cabbage Brown Rice Bowl,"Pork ribs, Cabbage, Brown rice"
Elbow dysplasia - OCD of the elbow,Chicken feet & Kale Lentils Stew,"Chicken feet, Kale, Lentils"
Elbow dysplasia - OCD of the elbow,Chicken feet & Broccoli Lentils Stew,"Chicken feet, Broccoli, Lentils"
Elbow dysplasia - OCD of the elbow,Beef trachea & Kale Lentils Stew,"Beef trachea, Kale, Lentils"
Elbow dysplasia - OCD of the elbow,Beef trachea & Broccoli Lentils Stew,"Beef trachea, Broccoli, Lentils"
Elbow dysplasia - OCD of the elbow,Green-lipped mussel & Lentils Stew,"Green-lipped mussel, Lentils"
Elbow dysplasia - OCD of the elbow,Bone broth & Lentils Stew,"Bone broth, Lentils"
Elbow dysplasia - OCD of the elbow,Chicken sternum cartilage & Lentils Stew,"Chicken sternum cartilage, Lentils"
Elbow dysplasia - OCD of the elbow,Pork cartilage & Lentils Stew,"Pork cartilage, Lentils"
Elbow dysplasia - OCD of the elbow,Salmon & Lentils Stew,"Salmon, Lentils"
Elbow dysplasia - OCD of the elbow,Sardines & Lentils Stew,"Sardines, Lentils"
Elbow dysplasia - OCD of the elbow,Mackerel & Lentils Stew,"Mackerel, Lentils"
Elbow dysplasia - OCD of the elbow,Egg yolk & Lentils Stew,"Egg yolk, Lentils"
Elbow dysplasia - OCD of the elbow,Beef liver & Lentils Stew,"Beef liver, Lentils"
Elbow dysplasia - OCD of the elbow,Bone meal & Lentils Stew,"Bone meal, Lentils"
Elbow dysplasia - OCD of the elbow,Sardines with bones & Lentils Stew,"Sardines with bones, Lentils"
Intervertebral disk disease,Chicken feet & Spinach Brown Rice Bowl,"Chicken feet, Spinach, Brown rice"
Intervertebral disk disease,Chicken feet & Spinach Oat Porridge,"Chicken feet, Spinach, Oats"
Intervertebral disk disease,Green-lipped mussel & Brown rice Bowl,"Green-lipped mussel, Brown rice"
Intervertebral disk disease,Green-lipped mussel & Oats Porridge,"Green-lipped mussel, Oats"
Intervertebral disk disease,Bone broth & Brown rice Bowl,"Bone broth, Brown rice"
Intervertebral disk disease,Bone broth & Oats Porridge,"Bone broth, Oats"
Intervertebral disk disease,Beef trachea & Brown rice Bowl,"Beef trachea, Brown rice"
Intervertebral disk disease,Beef trachea & Oats Porridge,"Beef trachea, Oats"
Intervertebral disk disease,Shark cartilage & Brown rice Bowl,"Shark cartilage, Brown rice"
Intervertebral disk disease,Shark cartilage & Oats Porridge,"Shark cartilage, Oats"
Intervertebral disk disease,Chicken sternum cartilage & Brown rice Bowl,"Chicken sternum cartilage, Brown rice"
Intervertebral disk disease,Chicken sternum cartilage & Oats Porridge,"Chicken sternum cartilage, Oats"
Intervertebral disk disease,Salmon & Brown rice Bowl,"Salmon, Brown rice"
Intervertebral disk disease,Salmon & Oats Porridge,"Salmon, Oats"
Intervertebral disk disease,Sardines & Brown rice Bowl,"Sardines, Brown rice"
Osteochondrodysplasia - skeletal dwarfism,Bone meal & Kale Chickpeas Stew,"Bone meal, Kale, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Bone meal & Broccoli Chickpeas Stew,"Bone meal, Broccoli, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Sardines with bones & Kale Chickpeas Stew,"Sardines with bones, Kale, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Sardines with bones & Broccoli Chickpeas Stew,"Sardines with bones, Broccoli, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Salmon & Bok choy Chickpeas Stew,"Salmon, Bok choy, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Egg yolk & Bok choy Chickpeas Stew,"Egg yolk, Bok choy, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Salmon & Chickpeas Stew,"Salmon, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Egg yolk & Chickpeas Stew,"Egg yolk, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Beef liver & Chickpeas Stew,"Beef liver, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Sardines & Chickpeas Stew,"Sardines, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Chicken & Chickpeas Stew,"Chicken, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Turkey & Chickpeas Stew,"Turkey, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Eggs & Chickpeas Stew,"Eggs, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Oysters & Chickpeas Stew,"Oysters, Chickpeas"
Osteochondrodysplasia - skeletal dwarfism,Beef & Chickpeas Stew,"Beef, Chickpeas"
Panosteitis,Bone meal & Kale Bowl with Blueberries,"Bone meal, Kale, Blueberries"
Panosteitis,Bone meal with Kale & Broccoli,"Bone meal, Kale, Broccoli"
Panosteitis,Sardines with bones & Broccoli Bowl with Blueberries,"Sardines with bones, Broccoli, Blueberries"
Panosteitis,Sardines with bones & Bell pepper Bowl with Blueberries,"Sardines with bones, Bell pepper, Blueberries"
Panosteitis,Chicken & Bell pepper Bowl with Blueberries,"Chicken, Bell pepper, Blueberries"
Panosteitis,Chicken & Sweet potato Bowl with Blueberries,"Chicken, Sweet potato, Blueberries"
Panosteitis,Turkey & Sweet potato Bowl with Blueberries,"Turkey, Sweet potato, Blueberries"
Panosteitis,Turkey & Blueberries Bowl,"Turkey, Blueberries"
Panosteitis,Eggs & Blueberries Bowl,"Eggs, Blueberries"
Panosteitis,Salmon & Blueberries Bowl,"Salmon, Blueberries"
Panosteitis,Egg yolk & Blueberries Bowl,"Egg yolk, Blueberries"
Panosteitis,Beef liver & Blueberries Bowl,"Beef liver, Blueberries"
Panosteitis,Sardines & Blueberries Bowl,"Sardines, Blueberries"
Panosteitis,Mackerel & Blueberries Bowl,"Mackerel, Blueberries"
Panosteitis,Bone meal & Broccoli Bowl with Blueberries,"Bone meal, Broccoli, Blueberries"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal with Broccoli & Kale,"Bone meal, Broccoli, Kale"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal & Broccoli with Cod liver oil,"Bone meal, Broccoli, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Sardines with bones & Kale with Cod liver oil,"Sardines with bones, Kale, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Sardines with bones & Bell pepper with Cod liver oil,"Sardines with bones, Bell pepper, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Salmon & Bell pepper with Cod liver oil,"Salmon, Bell pepper, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Salmon & Sweet potato with Cod liver oil,"Salmon, Sweet potato, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Egg yolk & Sweet potato with Cod liver oil,"Egg yolk, Sweet potato, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal with Broccoli & Bell pepper,"Bone meal, Broccoli, Bell pepper"
"Craniomandibular osteopathy (""lion jaw"")",Sardines with bones with Broccoli & Kale,"Sardines with bones, Broccoli, Kale"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal & Sardines with bones Stew with Broccoli,"Bone meal, Sardines with bones, Broccoli"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal & Kale with Cod liver oil,"Bone meal, Kale, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Sardines with bones & Broccoli with Cod liver oil,"Sardines with bones, Broccoli, Cod liver oil"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal with Broccoli & Sweet potato,"Bone meal, Broccoli, Sweet potato"
"Craniomandibular osteopathy (""lion jaw"")",Bone meal with Kale & Bell pepper,"Bone meal, Kale, Bell pepper"
"Craniomandibular osteopathy (""lion jaw"")",Sardines with bones with Broccoli & Bell pepper,"Sardines with bones, Broccoli, Bell pepper"
Hemivertebra,Chicken feet & Spinach Brown Rice Bowl,"Chicken feet, Spinach, Brown rice"
Hemivertebra,Chicken feet & Spinach Oat Porridge,"Chicken feet, Spinach, Oats"
Hemivertebra,Bone broth & Brown rice Bowl,"Bone broth, Brown rice"
Hemivertebra,Bone broth & Oats Porridge,"Bone broth, Oats"
Hemivertebra,Beef trachea & Brown rice Bowl,"Beef trachea, Brown rice"
Hemivertebra,Beef trachea & Oats Porridge,"Beef trachea, Oats"
Hemivertebra,Green-lipped mussel & Brown rice Bowl,"Green-lipped mussel, Brown rice"
Hemivertebra,Green-lipped mussel & Oats Porridge,"Green-lipped mussel, Oats"
Hemivertebra,Chicken sternum cartilage & Brown rice Bowl,"Chicken sternum cartilage, Brown rice"
Hemivertebra,Chicken sternum cartilage & Oats Porridge,"Chicken sternum cartilage, Oats"
Hemivertebra,Shark cartilage & Brown rice Bowl,"Shark cartilage, Brown rice"
Hemivertebra,Shark cartilage & Oats Porridge,"Shark cartilage, Oats"
Hemivertebra,Salmon & Brown rice Bowl,"Salmon, Brown rice"
Hemivertebra,Salmon & Oats Porridge,"Salmon, Oats"
Hemivertebra,Sardines & Brown rice Bowl,"Sardines, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Chicken feet & Spinach Brown Rice Bowl,"Chicken feet, Spinach, Brown rice"
Vertebral stenosis (associated with cauda equina syndrome),Bone broth & Spinach Brown Rice Bowl,"Bone broth, Spinach, Brown rice"
